pk_tempo;date_key;invoice_date;invoice_day;invoice_month;invoice_year;quarter
06/09/2018;06/09/2018;08/09/2018;08;09;2018;3
04/02/2018;04/02/2018;06/02/2018;06;02;2018;1
06/11/2017;06/11/2017;08/11/2017;08;11;2017;4
21/02/2017;21/02/2017;24/02/2017;24;02;2017;1
16/03/2017;16/03/2017;18/03/2017;18;03;2017;1
20/07/2017;20/07/2017;22/07/2017;22;07;2017;3
18/09/2017;18/09/2017;20/09/2017;20;09;2017;3
22/10/2018;22/10/2018;24/10/2018;24;10;2018;4
29/01/2018;29/01/2018;31/01/2018;31;01;2018;1
31/07/2017;31/07/2017;02/08/2017;02;08;2017;3
30/06/2018;30/06/2018;02/07/2018;02;07;2018;3
17/08/2018;17/08/2018;19/08/2018;19;08;2018;3
13/01/2018;13/01/2018;15/01/2018;15;01;2018;1
22/03/2018;22/03/2018;24/03/2018;24;03;2018;1
06/02/2017;06/02/2017;09/02/2017;09;02;2017;1
05/10/2018;05/10/2018;07/10/2018;07;10;2018;4
21/12/2017;21/12/2017;23/12/2017;23;12;2017;4
01/09/2017;01/09/2017;03/09/2017;03;09;2017;3
20/04/2017;20/04/2017;22/04/2017;22;04;2017;2
29/03/2017;29/03/2017;31/03/2017;31;03;2017;1
27/07/2018;27/07/2018;29/07/2018;29;07;2018;3
03/02/2018;03/02/2018;05/02/2018;05;02;2018;1
08/06/2018;08/06/2018;10/06/2018;10;06;2018;2
22/01/2017;22/01/2017;25/01/2017;25;01;2017;1
12/04/2018;12/04/2018;14/04/2018;14;04;2018;2
16/09/2018;16/09/2018;18/09/2018;18;09;2018;3
19/04/2017;19/04/2017;21/04/2017;21;04;2017;2
21/12/2018;21/12/2018;23/12/2018;23;12;2018;4
21/09/2018;21/09/2018;23/09/2018;23;09;2018;3
29/12/2017;29/12/2017;31/12/2017;31;12;2017;4
13/09/2018;13/09/2018;15/09/2018;15;09;2018;3
05/07/2017;05/07/2017;07/07/2017;07;07;2017;3
27/10/2018;27/10/2018;29/10/2018;29;10;2018;4
21/09/2017;21/09/2017;23/09/2017;23;09;2017;3
10/07/2017;10/07/2017;12/07/2017;12;07;2017;3
08/12/2017;08/12/2017;10/12/2017;10;12;2017;4
16/11/2017;16/11/2017;18/11/2017;18;11;2017;4
19/10/2017;19/10/2017;21/10/2017;21;10;2017;4
25/08/2018;25/08/2018;27/08/2018;27;08;2018;3
09/02/2019;09/02/2019;11/02/2019;11;02;2019;1
22/05/2017;22/05/2017;24/05/2017;24;05;2017;2
13/12/2018;13/12/2018;15/12/2018;15;12;2018;4
12/05/2017;12/05/2017;14/05/2017;14;05;2017;2
14/08/2017;14/08/2017;16/08/2017;16;08;2017;3
01/06/2017;01/06/2017;03/06/2017;03;06;2017;2
28/04/2017;28/04/2017;30/04/2017;30;04;2017;2
21/07/2018;21/07/2018;23/07/2018;23;07;2018;3
27/12/2017;27/12/2017;29/12/2017;29;12;2017;4
07/11/2017;07/11/2017;09/11/2017;09;11;2017;4
16/04/2018;16/04/2018;18/04/2018;18;04;2018;2
17/08/2017;17/08/2017;19/08/2017;19;08;2017;3
12/09/2017;12/09/2017;14/09/2017;14;09;2017;3
16/07/2018;16/07/2018;18/07/2018;18;07;2018;3
30/03/2018;30/03/2018;01/04/2018;01;04;2018;2
21/07/2017;21/07/2017;23/07/2017;23;07;2017;3
25/05/2018;25/05/2018;27/05/2018;27;05;2018;2
17/07/2017;17/07/2017;19/07/2017;19;07;2017;3
24/11/2018;24/11/2018;26/11/2018;26;11;2018;4
05/08/2018;05/08/2018;07/08/2018;07;08;2018;3
05/02/2019;05/02/2019;07/02/2019;07;02;2019;1
17/11/2018;17/11/2018;19/11/2018;19;11;2018;4
29/08/2017;29/08/2017;31/08/2017;31;08;2017;3
19/01/2019;19/01/2019;21/01/2019;21;01;2019;1
14/09/2018;14/09/2018;16/09/2018;16;09;2018;3
12/01/2019;12/01/2019;14/01/2019;14;01;2019;1
28/03/2017;28/03/2017;30/03/2017;30;03;2017;1
23/04/2018;23/04/2018;25/04/2018;25;04;2018;2
16/06/2018;16/06/2018;18/06/2018;18;06;2018;2
26/05/2017;26/05/2017;28/05/2017;28;05;2017;2
30/12/2018;30/12/2018;01/01/2019;01;01;2019;1
09/06/2018;09/06/2018;11/06/2018;11;06;2018;2
09/08/2018;09/08/2018;11/08/2018;11;08;2018;3
12/02/2019;12/02/2019;14/02/2019;14;02;2019;1
06/05/2018;06/05/2018;08/05/2018;08;05;2018;2
17/05/2018;17/05/2018;19/05/2018;19;05;2018;2
14/03/2019;14/03/2019;17/03/2019;17;03;2019;1
29/09/2018;29/09/2018;01/10/2018;01;10;2018;4
29/01/2019;29/01/2019;31/01/2019;31;01;2019;1
08/10/2018;08/10/2018;10/10/2018;10;10;2018;4
06/06/2017;06/06/2017;08/06/2017;08;06;2017;2
